Dates,SPTR5BNK Index,DJITR Index,SPXT Index,XAUUSD Curncy,XAGUSD Curncy,LT09TRUU Index,LD12TRUU Index,Regime
1997-05-23,258.796,9860.08,1122.16,342.6,4.74,143.13,127.26,Unknown
1997-05-27,253.668,9910.42,1125.72,344.1,4.76,142.97,127.32,Unknown
1997-05-28,253.664,9876.33,1122.6,344.85,4.74,142.93,127.35,Unknown
1997-05-29,252.091,9842.43,1118.62,345.75,4.84,143.33,127.37,Unknown
1997-05-30,258.294,9843.58,1124.22,344.65,4.71,144.15,127.41,Unknown
1997-06-02,256.254,9787.67,1121.69,344.45,4.74,144.22,127.44,Unknown
1997-06-03,260.857,9818.22,1120.54,343.25,4.76,144.5,127.45,Unknown
1997-06-04,260.179,9761.16,1113.69,341.25,4.73,144.51,127.45,Unknown
1997-06-05,262.287,9810.94,1118.23,343.35,4.8,144.51,127.46,Unknown
1997-06-06,267.455,9986.19,1137.62,343.65,4.8,145.5,127.49,Unknown
1997-06-09,265.858,10043.56,1144.15,344.05,4.76,145.07,127.54,Unknown
1997-06-10,269.101,10125.18,1147.3,344.05,4.77,144.94,127.56,Unknown
1997-06-11,270.515,10174.94,1153.21,343.85,4.78,145.01,127.59,Unknown
1997-06-12,274.56,10359.05,1171.91,341.55,4.73,145.75,127.6,Unknown
1997-06-13,277.774,10453.85,1184.9,341.05,4.7,146.18,127.62,Unknown
1997-06-16,279.817,10441.16,1185.78,342.65,4.72,146.44,127.67,Unknown
1997-06-17,280.041,10425.96,1186.47,341.75,4.8,146.22,127.67,Unknown
1997-06-18,280.935,10369.77,1179.41,339.25,4.71,146.45,127.69,Unknown
1997-06-19,283.56,10452.48,1191.29,340.55,4.78,146.47,127.7,Unknown
1997-06-20,282.599,10478.62,1192.24,337.7,4.74,146.75,127.72,Unknown
1997-06-23,275.133,10220.23,1165.62,339.75,4.85,146.53,127.76,Unknown
1997-06-24,281.386,10426.95,1189.13,337.55,4.78,146.49,127.76,Unknown
1997-06-25,277.423,10335.45,1179.42,337.35,4.79,146.22,127.77,Unknown
1997-06-26,274.452,10289.01,1172.63,338.25,4.77,145.82,127.8,Unknown
1997-06-27,275.059,10334.01,1177.45,334.55,4.71,146.16,127.81,Unknown
1997-06-30,270.78,10313.94,1174.59,333.95,4.64,145.77,127.87,Unknown
1997-07-01,276.009,10380.53,1182.57,334.15,4.66,146.36,127.87,Unknown
1997-07-02,281.846,10480.01,1199.98,331.15,4.64,146.62,127.9,Unknown
1997-07-03,286.901,10615.02,1217.11,325.25,4.56,147.62,127.92,Unknown
1997-07-07,283.955,10564.85,1210.86,318.0,4.29,148.02,127.98,Unknown
1997-07-08,284.45,10704.42,1219.82,319.85,4.35,147.96,128.05,Unknown
1997-07-09,279.825,10543.9,1204.99,318.25,4.33,148.15,128.07,Unknown
1997-07-10,282.189,10603.5,1213.32,319.9,4.38,148.21,128.09,Unknown
1997-07-11,283.244,10650.63,1217.34,321.35,4.37,148.4,128.1,Unknown
1997-07-14,282.666,10652.2,1219.6,319.95,4.29,148.28,128.11,Unknown
1997-07-15,282.235,10723.08,1229.4,318.05,4.31,148.3,128.18,Unknown
1997-07-16,287.073,10810.56,1243.86,318.05,4.22,148.83,128.18,Unknown
1997-07-17,285.419,10787.45,1237.28,323.75,4.27,148.86,128.2,Unknown
1997-07-18,280.813,10612.2,1215.63,328.95,4.27,148.51,128.2,Unknown
1997-07-21,281.252,10634.07,1212.5,325.65,4.27,148.4,128.22,Unknown
1997-07-22,287.511,10842.43,1240.44,325.25,4.32,149.37,128.27,Unknown
1997-07-23,287.601,10878.36,1243.9,323.0,4.3,149.53,128.29,Unknown
1997-07-24,291.444,10916.78,1248.88,323.38,4.3,149.48,128.33,Unknown
1997-07-25,290.787,10912.09,1246.87,326.0,4.34,149.27,128.33,Unknown
1997-07-28,291.258,10922.4,1243.76,328.63,4.38,149.61,128.39,Unknown
1997-07-29,297.367,10994.25,1251.66,325.95,4.34,150.07,128.41,Unknown
1997-07-30,304.068,11102.34,1265.21,326.05,4.39,150.49,128.42,Unknown
1997-07-31,305.836,11059.66,1268.05,324.55,4.46,150.85,128.44,Unknown
1997-08-01,301.387,11021.24,1258.59,324.75,4.48,149.29,128.46,Unknown
1997-08-04,301.855,11027.17,1262.81,323.95,4.52,149.17,128.51,Unknown
1997-08-05,299.536,11012.49,1265.58,320.65,4.35,149.09,128.53,Unknown
1997-08-06,304.543,11110.29,1276.25,318.55,4.36,149.27,128.55,Unknown
