Regime,Asset,Avg_Daily_LogRet_Pct
Goldilocks,SPTR5BNK Index,0.065322
Goldilocks,DJITR Index,0.055324
Goldilocks,SPXT Index,0.054253
Goldilocks,XAUUSD Curncy,0.030055
Goldilocks,XAGUSD Curncy,0.034221
Goldilocks,LT09TRUU Index,0.012735
Goldilocks,LD12TRUU Index,0.005428
Downturn,SPTR5BNK Index,-0.059596
Downturn,DJITR Index,-0.022515
Downturn,SPXT Index,-0.015084
Downturn,XAUUSD Curncy,0.061981
Downturn,XAGUSD Curncy,0.019973
Downturn,LT09TRUU Index,0.031204
Downturn,LD12TRUU Index,0.011649
Stagflation,SPTR5BNK Index,-0.022224
Stagflation,DJITR Index,0.101388
Stagflation,SPXT Index,0.122507
Stagflation,XAUUSD Curncy,0.155375
Stagflation,XAGUSD Curncy,0.289251
Stagflation,LT09TRUU Index,0.03305
Stagflation,LD12TRUU Index,0.000782
Overheating,SPTR5BNK Index,-0.028575
Overheating,DJITR Index,0.004385
Overheating,SPXT Index,-0.003576
Overheating,XAUUSD Curncy,-0.014384
Overheating,XAGUSD Curncy,-0.066832
Overheating,LT09TRUU Index,-0.040824
Overheating,LD12TRUU Index,0.002189
